Idly
Sambar Idli 
Vada (2 Nos) 1
Ghee Pongal
Kichadi 1
Poori Masala
Plain Dosa
Masala Dosa
Rava Dosa
Ghee Dosa
Plain Uttapam
Onion Uttapam
Masala Uttapam
Idiyappam Kadala Curry
Idyappam Kadali Curry
Idli with Aatukalpaya
Dosa with Aatukalpaya 2
Dosa Idiyappam with Aatukalpaya 2
Dosa Egg Dosa 2
Dosa Kheema Dosa 2
Dosa Chicken Keema
Dosa Egg Appam 2
Veg Sandwich
Cheese Sandwich
Comflakes with Hot Milk
Comflakes with Cold Milk
Bread Omelette
Omelette - at your choice
Apple  Juice
Sweet Lime Juice
water melon Juice
Pomegranate Juice
Pinappe Juice
Papaya Juice
Grape Juice
Veg Biryani (Combo)
Veg Fried Rice (Combo)
Veg Pulao (Combo)
NV Chicken Biryani (Combo)
NV Mutton Biryani  (Combo)
NV Fish Biryani (Combo)
NV Prawn Biryani (Combo)
Veg Thali
 Veg Thali
Murunggaikai Charu
Coriander pepper Soups
Veg Vegetable Clear Soups
Sweet Corn Veg Soups
Hot and Sour Veg Soups
Cream of Tamato / Mushroom
Mulligatawny Soups
Poultry Naatu Kozhi Rasam Soup
Poultry Sweet Corn Chicken Soups
Poultry Hot and Sour Chicken Soups
Poultry Chicken Clear Soups
Poultry Cream of Chicken Soups
Mutton Bone Soups
Sea Food Kadal Nandu Charu
Sea Food Tom Yam Prawn Soups
Gobi 65
Paneer 65
Mushroom 65
Poultry Naatu Kozhi Pichi Pottathu 
Poultry Naatu Kozhi Varuval
Poultry Chicken 65 (With Bone) 
Poultry Chicken 90 (Bone Less)
Poultry Chicken Pepper Fry Bone
Poultry Chicken Pepper Fry Bone Less
Poultry Kozhi Chukkai
Poultry Kozhi Varuval
Poultry Kozhi Coconut Pepper Fry
Mutton Pepper Fry
Mutton Coconut Pepper Fry
Mutton Chukka
Mutton Kola Urandai
Sea Food Fish Finger
Masala - Fried Fish
Sea Food Nandu Masala
Sea Food Year Thokku
Sea Food Prawn 65
Paneer Finger
Golden - Fried Babycorn
Mushroom Chilli 
Babcorn Chilli 
Paneer Chilli 
Vegetables Chilli 
Mushroom Manchurian
Babcorn Manchurian
Paneer Manchurian
Vegetables Manchurian
Sesame Fried Paneer
Mushroom Pepper Salt
Vegetable Spring Roll
Fried Cashewnuts
Crispy Fried Lamb 1
Chilly Lamb
Lamb bell Pepper
Chicken Lollypop
Chicken Manchurian
Chilli Chicken Dry
Dragon Chicken 
Ginger Chicken 
Garlic Chicken 
Chilli Fish
Schezwan Fish
Fish Manchurian
Prawn 65
Chilli Prawn
Golden Fried Prawn
Paneer Tikka
Vegetable Sheek Kebab
Hariyali Paneer Tikka
Tandoori Vegetable Platter
Mutton Sheek Kabab
Tandoori Prawn
Fish Tikka
Tandoori Chicken - Half
Tandoori Chicken - Full
Chicken Tikka
Masala Chicken Kebab
Tangiri Kebab
Reshmi Kebab
Hariyali Tikka
Murgh Malai Tikka
Chicken Tikka
Hariyali Tikka
Malai Kebab and Mutton Sheek Kabab
Malai Kebab and Fish Tikka
Roti
Butter Roti
Naan Plain
Butter Naan
Garlic Naan
Kulcha
Aloo Stuffed Kulcha
Onion Stuffed Kulcha
Gobi Stuffed Kulcha
Paneer Stuffed Kulcha
Masala Stuffed Kulcha
Aloo Paratha
Pudina Paratha
Lacha Paratha
Methi Paratha
Cheese Veechu Paratha
Paneer Veechu Paratha
Egg Veechu Paratha
Keema Veechu Paratha
Egg Kothu Paratha
Chicken Kothu Paratha
Mutton Kothu Paratha
Wheat Paratha
Chilli Paratha
Pulka (2 Nos)
Chicken Stuffed Naan
Mutton Stuffed Naan
Chapati 2 Nos
Plain Dosai
Masala Dosai
Kal Dosai
Ghee Dosai
Rawa Dosai
Onion Uttapam
Podi Uttapam
Egg Dosai
Egg Podimas Dosai
Veg Sanwich
Cheese and Grilled
Mysore Bonda
onion Bajji
Assorted Bajji
Onion Pakoda
Vegatable Cutlet
Vegatable Spring Roll
Chicken Spring Roll
Veg Pulao
Peas Pulao
Cashew Pulao
Kashmiri Pulao
Vegetable Biriyani
Vegetable Fried Rice 
Noodles Varieties
Fried Rice - Paneer / Mushroom
Bisibelabath (Sambar Rice)
Bagalabath
